suburb,state,postcode
Boree,NSW,2800
Boree Creek,NSW,2652
Borenore,NSW,2800
Boro,NSW,2622
Bossley Park,NSW,2176
Bostobrick,NSW,2453
Botany,NSW,2019
Botobolar,NSW,2850
Bottle Creek,NSW,2469
Bouddi,NSW,2257
Bourbah,NSW,2828
Bourke,NSW,2840
Bourkelands,NSW,2650
Bournda,NSW,2548
Bournewood,NSW,2868
Bow Bowing,NSW,2566
Bowan Park,NSW,2864
Bowen Mountain,NSW,2753
Bowenfels,NSW,2790
Bowling Alley Point,NSW,2340
Bowman,NSW,2422
Bowman Farm,NSW,2422
Bowmans Creek,NSW,2330
Bowna,NSW,2644
Bowning,NSW,2582
Bowral,NSW,2576
Bowraville,NSW,2449
Box Head,NSW,2257
Box Hill,NSW,2765
Boxers Creek,NSW,2580
Boydtown,NSW,2551
Bradbury,NSW,2560
Braefield,NSW,2339
Braemar,NSW,2575
Braemar Bay,NSW,2628
Braidwood,NSW,2622
Brandy Hill,NSW,2324
Branxton,NSW,2335
Braunstone,NSW,2460
Brawboy,NSW,2337
Bray Park,NSW,2484
Brays Creek,NSW,2484
Brayton,NSW,2579
Breadalbane,NSW,2581
Breakfast Creek,NSW,2849
Breakfast Point,NSW,2137
Bream Beach,NSW,2540
Bredbo,NSW,2626
Breelong,NSW,2827
Breeza,NSW,2381
Bretti,NSW,2422
Brewarrina,NSW,2839
Brewongle,NSW,2795
Briarbrook,NSW,2365
Bribbaree,NSW,2594
Bridgman,NSW,2330
Brierfield,NSW,2454
Brighton-Le-Sands,NSW,2216
Brightwaters,NSW,2264
Bril Bril,NSW,2441
Brimbin,NSW,2430
Brindabella,NSW,2611
Brinerville,NSW,2454
Bringelly,NSW,2556
Bringenbrong,NSW,3707
Brisbane Grove,NSW,2580
Broadmeadow,NSW,2292
Broadwater,NSW,2472
Broadwater,NSW,2549
Broadway,NSW,2581
Brobenah,NSW,2705
Brocklehurst,NSW,2830
Brocklesby,NSW,2642
Brockley,NSW,2365
Brodies Plains,NSW,2360
Brogans Creek,NSW,2848
Brogers Creek,NSW,2535
Brogo,NSW,2550
Broke,NSW,2330
Broken Dam,NSW,2629
Broken Head,NSW,2481
Broken Hill,NSW,2880
Brombin,NSW,2446
Bronte,NSW,2024
Brookdale,NSW,2656
Brookfield,NSW,2420
Brooklana,NSW,2450
Brooklet,NSW,2479
Brooklyn,NSW,2083
Brookong,NSW,2656
Brookvale,NSW,2100
Brooman,NSW,2538
Brooms Head,NSW,2463
Broughams Gate,NSW,2880
Broughton,NSW,2535
Broughton Vale,NSW,2535
Broughton Village,NSW,2534
Broulee,NSW,2537
Brownlow Hill,NSW,2570
Browns Creek,NSW,2799
Browns Mountain,NSW,2540
Brownsville,NSW,2530
Brucedale,NSW,2650
Bruie Plains,NSW,2875
Bruinbun,NSW,2795
Brumby Plains,NSW,2476
Brundee,NSW,2540
Brungle,NSW,2722
Brungle Creek,NSW,2722
Brunkerville,NSW,2323
Brunswick Heads,NSW,2483
Brushgrove,NSW,2460
Brushy Creek,NSW,2365
Buangla,NSW,2540
Bucca,NSW,2450
Bucca Wauka,NSW,2429
Buccarumbi,NSW,2460
Buchanan,NSW,2323
Buckajo,NSW,2550
Buckaroo,NSW,2850
Buckenbowra,NSW,2536
Buckenderra,NSW,2630
Buckendoon,NSW,2472
Bucketty,NSW,2250
Buckra Bendinni,NSW,2449
Budawang,NSW,2622
Buddabadah,NSW,2825
Budden,NSW,2849
Budderoo,NSW,2535
Buddong,NSW,2720
Budgee Budgee,NSW,2850
Budgewoi,NSW,2262
Budgewoi Peninsula,NSW,2262
Budgong,NSW,2577
Buff Point,NSW,2262
Bugaldie,NSW,2357
Bukalong,NSW,2632
Bukkulla,NSW,2360
Bulahdelah,NSW,2423
Bulee,NSW,2622
Bulga,NSW,2330
Bulga Forest,NSW,2429
Bulgary,NSW,2650
Bulla,NSW,2835
Bulla Creek,NSW,2594
Bullaburra,NSW,2784
Bullagreen,NSW,2824
Bullarah,NSW,2400
Bullatale,NSW,2710
Bullawa Creek,NSW,2390
Bulldog,NSW,2469
Bulli,NSW,2516
Bulliac,NSW,2422
Bullio,NSW,2575
Bullocks Flat,NSW,2627
Bulyeroi,NSW,2387
Bumbaldry,NSW,2794
Bumbalong,NSW,2626
Bumberry,NSW,2870
Bundabah,NSW,2324
Bundagen,NSW,2454
Bundanoon,NSW,2578
Bundarra,NSW,2359
Bundeena,NSW,2230
Bundella,NSW,2343
Bundemar,NSW,2823
Bundewallah,NSW,2535
Bundook,NSW,2422
Bundure,NSW,2716
Bungaba,NSW,2852
Bungabbee,NSW,2480
Bungalora,NSW,2486
Bungarby,NSW,2630
Bungarribee,NSW,2767
Bungawalbin,NSW,2469
Bungendore,NSW,2621
Bungonia,NSW,2580
Bungowannah,NSW,2640
Bungwahl,NSW,2423
Bunnaloo,NSW,2731
Bunnan,NSW,2337
Bunyah,NSW,2429
Bunyan,NSW,2630
Burcher,NSW,2671
Bureen,NSW,2328
Burnt Bridge,NSW,2440
Burnt Yards,NSW,2792
Buronga,NSW,2739
Burra,NSW,2620
Burra,NSW,2653
Burra Creek,NSW,2722
Burraboi,NSW,2732
Burradoo,NSW,2576
Burraga,NSW,2795
Burragate,NSW,2550
Burrandana,NSW,2650
Burraneer,NSW,2230
Burrangong,NSW,2594
Burrapine,NSW,2447
Burrawang,NSW,2577
Burrell Creek,NSW,2429
Burren Junction,NSW,2386
Burrier,NSW,2540
Burrill Lake,NSW,2539
Burringbar,NSW,2483
Burrinjuck,NSW,2582
Burroway,NSW,2821
Burrumbuttock,NSW,2642
Burrundulla,NSW,2850
Burrungubugge,NSW,2627
Burwood,NSW,2134
Burwood Heights,NSW,2136
Busby,NSW,2168
Busbys Flat,NSW,2469
